,ticker,preco,pl,pvpa,volfin,mktcap,acoestotal
1,ABEV3,14.76,15.61,2.79,451392914,232473200721,15750216851
3,AESB3,10.18,19.14,1.1,18947158,6127620026,601927311
5,AGRO3,24.89,17.94,1.24,11062926,2548163729,102377008
6,AGXY3,7.64,45.09,0.87,415358,1305102916,170824989
10,ALLD3,4.99,6.11,0.31,122422,465170704,93220582
11,ALPA3,8.6,54.13,1.02,120882,5726607950,683062222
12,ALPA4,8.17,51.42,0.97,61807370,5726607950,683062222
14,ALSO3,18.35,47.41,1.34,61527031,10531742280,573936909
15,ALUP11,28.31,4.99,0.8,25788703,8372287145,879111254
16,ALUP3,9.53,5.04,0.81,139550,8372287145,879111254
17,ALUP4,9.51,5.02,0.81,234564,8372287145,879111254
19,AMBP3,22.64,23.51,1.97,22316395,2556861712,112935588
20,AMER3,1.2,25.25,0.07,103869149,1083035404,902529503
21,ANIM3,2.42,85.33,0.31,20582514,977362508,403868805
22,APER3,25.96,19.2,1.07,1106525,507821836,19561704
25,ARML3,12.25,28.53,3.66,4806447,4238696502,346016041
26,ARZZ3,68.91,17.97,2.86,111456571,7592922566,110186077
27,ASAI3,14.44,15.98,5.0,244988190,19497703802,1350256496
30,AURA33,39.0,8.03,1.71,3387217,2758955940,70742460
31,AURE3,15.07,5.63,0.99,56726658,15070000000,1000000000
36,B3SA3,11.86,16.33,3.4,534564028,69013340000,5819000000
45,BEEF3,10.05,9.32,5.74,110066535,6103198240,607283407
48,BLAU3,24.26,12.07,2.39,8095396,4352096960,179393939
50,BMOB3,14.1,14.98,1.21,4690845,1281818197,90909092
51,BOAS3,7.72,13.81,1.87,9425898,4111778111,532613745
54,BRAP3,24.84,2.62,1.31,1521468,10343612029,393096610
55,BRAP4,27.11,2.86,1.43,62696891,10343612029,393096610
65,BRIT3,2.18,16.13,0.71,1179946,979026917,449094916
73,CAMB3,5.92,4.41,1.46,174011,250268474,42275080
74,CAML3,7.43,5.4,0.86,11272094,2600500000,350000000
80,CBAV3,6.23,3.88,0.7,33978623,3712041665,595833333
82,CCRO3,13.19,6.33,2.25,121490897,26643800000,2020000000
84,CEBR3,13.12,3.66,0.77,65684,966003606,72081915
86,CEBR6,13.79,3.85,0.81,137959,966003606,72081915
96,CGAS5,126.65,9.27,16.25,92313,16466950901,132520587
98,CGRA4,28.89,4.69,0.67,145919,567648400,19346871
99,CIEL3,4.93,7.81,0.97,113552094,13393898251,2716815061
102,CLSC4,50.01,3.57,0.67,172710,1882383855,38571591
103,CMIG3,19.17,10.31,1.94,4144831,32381271560,2201370688
104,CMIG4,12.47,6.7,1.26,117754554,32381271560,2201370688
105,CMIN3,4.94,9.18,2.38,34715220,27097573860,5485338838
110,COCE5,48.19,5.86,0.95,2713327,4188845756,77855299
116,CPFE3,33.58,7.41,2.21,58513915,38692704095,1152254440
117,CPLE11,37.4,17.81,0.97,10263569,20061720215,2736553750
118,CPLE3,6.81,16.21,0.88,9460573,20061720215,2736553750
120,CPLE6,7.63,18.17,0.99,94279507,20061720215,2736553750
122,CRFB3,11.53,12.15,1.11,90307687,24267947541,2104765615
124,CRPG5,30.0,12.74,1.08,165211,1080859667,29018747
127,CSAN3,15.91,10.57,0.62,145269180,29816468528,1874070932
128,CSED3,2.31,128.35,0.6,1961592,847882617,367048752
129,CSMG3,16.25,7.33,0.85,33487598,6179112371,380253069
130,CSNA3,16.03,9.81,0.97,131426095,21257285970,1326093947
134,CSUD3,10.51,5.97,1.15,1138027,439318000,41800000
142,CURY3,13.29,11.13,4.42,16916708,3879019920,291875088
144,CXSE3,9.82,9.98,2.71,15871930,29460000000,3000000000
145,CYRE3,15.82,7.37,0.82,96443329,6323931080,399742799
147,DESK3,8.73,18.29,1.06,1643688,1005768424,115208296
148,DEXP3,7.97,4.16,1.09,858554,746632844,94013535
150,DIRR3,16.87,9.15,1.69,30250660,2530500000,150000000
151,DMVF3,3.31,14.75,0.2,163235,167495407,50602842
157,DXCO3,6.15,6.73,0.86,39246712,5147914363,837059246
159,EALT4,6.98,4.24,0.73,96889,159292500,22500000
