,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
0,AALR3,ALLIAR,2275,"-1,60%","-20,01%","-20,21%","-2,95%",235.0,-1227,274,-10948.0,"0,00%",9.059.495,2.691.161.564,118.292.816
1,ABEV3,AMBEV S/A,1476,"20,27%","17,80%","18,68%","22,15%",165.0,1561,279,1251.0,"5,16%",451.392.914,232.473.200.721,15.750.216.851
2,AERI3,AERIS,138,"8,27%","-9,84%","-3,76%","8,65%",349.0,-1141,120,849.0,"0,00%",8.540.363,1.057.374.569,766.213.456
3,AESB3,AES BRASIL,1018,"5,22%","6,66%","11,25%","24,53%",320.0,1914,110,1897.0,"1,06%",18.947.158,6.127.620.026,601.927.311
4,AFLT3,AFLUENTE T,900,"15,05%","14,75%","52,03%","53,18%",113.0,1514,218,1427.0,"2,62%",3.663,567.762.300,63.084.700
5,AGRO3,BRASILAGRO,2489,"6,43%","6,31%","11,02%","15,40%",155.0,1794,124,1568.0,"13,01%",11.062.926,2.548.163.729,102.377.008
6,AGXY3,AGROGALAXY,764,"16,43%","1,95%","0,25%","4,55%",561.0,4509,087,414.0,"2,20%",415.358,1.305.102.916,170.824.989
7,AHEB3,SPTURIS,2000,"-229,71%","-169,47%","21,41%","27,17%",-844.0,264,-3006,156.0,"0,00%",31,170.463.876,8.543.894
8,AHEB5,SPTURIS,2200,"-229,71%","-169,47%","21,41%","27,17%",-844.0,290,-3306,156.0,"0,00%",0,170.463.876,8.543.894
9,AHEB6,SPTURIS,1931,"-229,71%","-169,47%","21,41%","27,17%",-844.0,255,-2902,156.0,"0,00%",0,170.463.876,8.543.894
10,ALLD3,ALLIED,499,"10,28%","5,06%","1,48%","4,04%",273.0,611,031,459.0,"18,54%",122.422,465.170.704,93.220.582
11,ALPA3,ALPARGATAS,860,"3,79%","2,35%","2,60%","4,81%",179.0,5413,102,3160.0,"0,00%",120.882,5.726.607.950,683.062.222
12,ALPA4,ALPARGATAS,817,"3,79%","2,35%","2,60%","4,81%",179.0,5142,097,3160.0,"0,00%",61.807.370,5.726.607.950,683.062.222
13,ALPK3,ESTAPAR,125,"4,07%","-31,92%","-14,17%","6,81%",520.0,-170,063,1979.0,"0,00%",514.840,268.033.154,214.426.523
14,ALSO3,ALIANSCSONAE,1835,"5,99%","2,83%","19,99%","42,25%",149.0,4741,134,1697.0,"2,09%",61.527.031,10.531.742.280,573.936.909
15,ALUP11,ALUPAR,2831,"13,60%","16,33%","43,40%","74,76%",263.0,499,080,606.0,"0,00%",25.788.703,8.372.287.145,879.111.254
16,ALUP3,ALUPAR,953,"13,60%","16,33%","43,40%","74,76%",263.0,504,081,606.0,"0,00%",139.550,8.372.287.145,879.111.254
17,ALUP4,ALUPAR,951,"13,60%","16,33%","43,40%","74,76%",263.0,502,081,606.0,"0,00%",234.564,8.372.287.145,879.111.254
18,AMAR3,LOJAS MARISA,071,"-8,05%","-51,97%","-14,22%","-6,84%",453.0,-062,038,-907.0,"0,00%",8.537.712,243.418.468,342.842.912
19,AMBP3,AMBIPAR,2264,"11,51%","8,35%","2,87%","18,78%",566.0,2351,197,948.0,"1,34%",22.316.395,2.556.861.712,112.935.588
20,AMER3,AMERICANAS,120,"3,63%","0,28%","0,15%","4,18%",298.0,2525,007,1134.0,"0,00%",103.869.149,1.083.035.404,902.529.503
21,ANIM3,ANIMA,242,"4,64%","0,41%","0,32%","10,61%",367.0,8533,031,1371.0,"0,00%",20.582.514,977.362.508,403.868.805
22,APER3,ALPER S.A.,2596,"4,87%","6,87%","10,86%","7,70%",169.0,1920,107,2072.0,"0,27%",1.106.525,507.821.836,19.561.704
23,APTI3,ALIPERTI,,"-14,98%","-11,47%","-60,88%","-96,49%",223.0,,,-109.0,,0,55.398.666,18.595
24,APTI4,ALIPERTI,"2.979,22","-14,98%","-11,47%","-60,88%","-96,49%",223.0,-220,027,-109.0,"0,00%",0,55.398.666,18.595
25,ARML3,ARMAC,1225,"10,13%","13,08%","15,61%","33,66%",309.0,2853,366,1698.0,"3,32%",4.806.447,4.238.696.502,346.016.041
26,ARZZ3,AREZZO CO,6891,"21,23%","19,90%","9,98%","12,99%",189.0,1797,286,1367.0,"2,66%",111.456.571,7.592.922.566,110.186.077
27,ASAI3,ASSAI,1444,"20,89%","36,63%","2,24%","5,23%",953.0,1598,500,921.0,"1,12%",244.988.190,19.497.703.802,1.350.256.496
28,ATMP3,ATMASA,104,"-110,26%","626,31%","-67,74%","-47,73%",-2388.0,-006,-009,-101.0,"0,00%",26.666,27.778.770,26.710.356
29,ATOM3,ATOMPAR,285,"47,99%","51,04%","27,93%","26,26%",157.0,677,289,469.0,"2,42%",46.999,67.843.959,23.804.898
30,AURA33,AURA 360,3900,"17,74%","21,91%","16,94%","22,45%",226.0,803,171,704.0,"0,00%",3.387.217,2.758.955.940,70.742.460
31,AURE3,AUREN,1507,"7,97%","22,05%","48,56%","25,22%",213.0,563,099,1273.0,"0,66%",56.726.658,15.070.000.000,1.000.000.000
32,AVLL3,ALPHAVILLE,320,"-23,24%","216,35%","-154,91%","-69,23%",-951.0,-017,-018,-506.0,"0,00%",34.528,71.730.541,22.415.794
33,AZEV3,AZEVEDO,141,"-87,88%","-78,42%","-20,80%","-33,17%",474.0,-136,112,-124.0,"0,00%",187.720,102.241.162,77.180.469
34,AZEV4,AZEVEDO,128,"-87,88%","-78,42%","-20,80%","-33,17%",474.0,-124,102,-124.0,"0,00%",585.779,102.241.162,77.180.469
35,AZUL4,AZUL,1215,"26,50%","3,87%","-4,53%","8,96%",-100.0,-2127,-081,1863.0,"0,00%",165.780.544,4.077.824.407,1.264.588.466
36,B3SA3,B3,1186,"16,16%","19,80%","41,80%","55,17%",234.0,1633,340,1187.0,"3,36%",534.564.028,69.013.340.000,5.819.000.000
37,BAHI3,BAHEMA,1200,"-19,66%","-96,35%","-31,94%","-13,45%",534.0,-251,329,-947.0,"0,00%",49.451,286.772.688,23.897.724
